,岗位名称,薪资待遇,岗位详情,岗位地区,公司福利,公司名称,岗位需要技能,salary1,salary2,学历要求,工作经验要求,福利数量,需求技能数量,公司类型,融资情况,公司人数,score
1366,数据采集工程师,11-20K,1-3年，本科,深圳,五险一金，补充医疗保险，定期体检，节日福利，餐补，零食下午茶，双休，带薪年假，年终奖,鹏微,Java，大数据处理经验，Python,12,15.5,本科,1-3年,9,3,计算机软件,未融资,20-99人,0.2985982587043194
1367,数据分析师,20-40K·16薪,3-5年，本科,杭州,五险一金，交通补助，加班补助，通讯补贴，补充医疗保险，餐补，零食下午茶，定期体检,阿里集团,Python，大数据，数据分析,16,30.0,本科,3-5年,8,3,移动互联网,已上市,10000人以上,0.7661060968048282
1368,数据治理专家,25-50K·14薪,5-10年，本科,北京,股票期权，带薪年假，员工旅游，零食下午茶，包吃，五险一金，免费班车，年终奖，定期体检，节日福利，补充医疗保险，餐补,京东振世,数据仓库，数据治理，大数据，网络安全,14,37.5,本科,5-10年,12,4,互联网,不需要融资,10000人以上,0.657312200789596
1369,大数据开发,20-40K·13薪,3-5年，本科,北京,五险一金，股票期权，带薪年假,热汗科技,Java，Spark，Storm，大数据开发经验，数仓建设经验,13,30.0,本科,3-5年,3,5,电子商务,未知,20-99人,0.37515161145227477
1370,数据分析师,5-6K,1-3年，本科,乌鲁木齐,底薪加提成，节日福利，绩效奖金，免费工装，员工旅游，保底工资，年终奖，节假日加班费，五险一金,上海园玺贸易有限公司,SQL，Python，信度分析，相关分析，方差分析，参数检验,12,5.5,本科,1-3年,9,6,批发/零售,未融资,0-20人,0.19458220524806688
1371,数据分析师,8-12K,1-3年，本科,长沙,带薪年假，全勤奖，年终奖，通讯补贴，节日福利，定期体检，免费班车，包吃，餐补，员工旅游，补充医疗保险，交通补助，五险一金,老百姓大药房,Python，SQL，Tableau，Excel，SPSS，回归分析，决策树,12,10.0,本科,1-3年,13,7,医疗健康,已上市,10000人以上,0.7485328373664771
1372,数据分析师,20-35K,1-3年，本科,北京,交通补助，五险一金，年终奖，带薪年假，加班补助，补充医疗保险，定期体检，餐补，节日福利，全勤奖，零食下午茶,学而思网校,Python，SQL，Excel，Tableau，Hive，Power BI，BI,12,27.5,本科,1-3年,11,7,在线教育,已上市,1000-9999人,0.8572392910957155
1373,数据标注 新余,3-4K,经验不限，大专,新余,全勤奖，住房补贴,昆仑度科技,全职工作，标注方法优化，数据标注，标注数据分析,12,3.5,大专,经验不限,2,4,数据服务,未融资,500-999人,0.3053295135726762
1374,数据审核员,5-10K·13薪,经验不限，本科,成都,节日福利，带薪年假，股票期权，五险一金,1STEP.AI,金融行业数据相关经验，本科金融相关专业,13,7.5,本科,经验不限,4,2,互联网,A轮,20-99人,0.28668575231084253
1375,数据挖掘工程师,30-35K,3-5年，硕士,深圳,全勤奖，免费班车，零食下午茶，交通补助，通讯补贴，定期体检，提供住宿，住房补贴，带薪年假，股票期权，餐补，餐补，员工旅游，五险一金，节日福利,vivo,数据挖掘，数据分析，Python，分布式技术，Spark，大数据,12,32.5,硕士,3-5年,15,6,移动互联网,不需要融资,10000人以上,0.6585328645071415
1376,数据算法实习生,200-300元/天,5天/周，硕士,杭州,五险一金，员工旅游，节日福利，零食下午茶,以及科技,搜索/推荐，智能营销/广告，智能驾驶，Python,12,7.5,硕士,经验不限,4,4,电子商务,天使轮,20-99人,0.29430147208496305
1377,数据挖掘工程师,12-24K·13薪,经验不限，硕士,杭州,零食下午茶，节日福利，带薪年假，股票期权，五险一金,首域万物互联,Python，深度学习算法，机器学习算法，Matlab，Pandas,13,18.0,硕士,经验不限,5,5,数据服务,A轮,20-99人,0.4275423215482811
1378,数据标注工程师,4-6K,1-3年，大专,长春,全勤奖，有无线网，员工旅游,数据加,数据标注,12,5.0,大专,1-3年,3,1,数据服务,未融资,100-499人,0.13582034755347883
1379,数据分析师,100-200元/天,3天/周，本科,济南,五险一金,济南阿卡尔大数据科技,数学/统计相关专业，经济/工商管理相关专业，有魄力，有胆量,12,4.5,本科,经验不限,1,4,计算机软件,未融资,0-20人,0.13590019045344404
1380,高级数据库工程师,18-25K,3-5年，本科,杭州,定期体检，绩效奖金，餐补，生日福利，股票期权，全勤奖，团建聚餐，五险一金,利欧信息,Docker，MySQL，PostgreSQL，计算机相关专业,12,21.5,本科,3-5年,8,4,环保,不需要融资,100-499人,0.34082817023315554
1381,数据分析师,5-8K,1-3年，本科,石家庄,,石家庄天远集团,Python，SQL，Excel，Tableau,12,6.5,本科,1-3年,0,4,智能硬件,不需要融资,500-999人,0.21011493084435343
1382,数据分析师,25-35K,5-10年，本科,北京,五险一金，节日福利，带薪年假，年终奖，住房补贴，全勤奖，补充医疗保险，交通补助，定期体检，股票期权，零食下午茶,一亩田,数据分析，SQL，Excel,12,30.0,本科,5-10年,11,3,O2O,C轮,500-999人,0.6107043520548814
1383,数据分析师,10-15K·13薪,3-5年，本科,苏州,餐补，通讯补贴，绩效奖金，法定节假日三薪，住房补贴，团建聚餐，交通补助，五险一金，有无线网，员工旅游，工牌商家折扣，保底工资，零食下午茶，包吃，节日福利，超长春节假期，年终奖，带薪年假，生日福利，底薪加提成,研途教育科技,SQL，Python，Hive，BI，指标体系,13,12.5,本科,3-5年,20,5,互联网,B轮,500-999人,0.5711475492350158
1384,数据分析师,5-8K·14薪,3-5年，本科,沈阳,零食下午茶，补充医疗保险，五险一金，通讯补贴，餐补，定期体检，节日福利，年终奖，包吃,中环洁,数学/统计相关专业，经济/工商管理相关专业,14,6.5,本科,3-5年,9,2,环保,未融资,10000人以上,0.347643363774467
1385,数据分析实习生,180-220元/天,4天/周，本科,上海,股票期权，节日福利，生日福利，年终奖，员工旅游，团建聚餐，员工周年奖，有无线网，员工生日会，保底工资，绩效奖金，五险一金，意外险，带薪年假，底薪加提成，免费工装，零食下午茶,信愿行,数学/统计相关专业，数据分析/挖掘经验,12,5.5,本科,经验不限,17,2,电子商务,不需要融资,20-99人,0.39382276011180956
1386,数据分析师,20-35K·14薪,3-5年，本科,上海,年终奖，交通补助，节日福利，员工旅游，带薪年假，高端办公硬件，五险一金，定期体检，俱乐部补贴，股票期权，餐补，包吃，零食下午茶，补充医疗保险,七猫,SQL,14,27.5,本科,3-5年,14,1,互联网,B轮,500-999人,0.5828680724379396
1387,数据标注员,4-8K,1-3年，学历不限,新余,带薪年假，绩效奖金，节日福利，年终奖，工龄奖，餐补，底薪加提成，法定节假日三薪，全勤奖，加班补助，节假日加班费，保底工资，团建聚餐，有无线网,速捷数字科技有限公司,全职工作，标注方法优化，标注结果抽查，数据标注,12,6.0,学历不限,1-3年,14,4,数据服务,不需要融资,100-499人,0.39848821564688913
1388,数据标注专员,2-4K,经验不限，学历不限,安阳,,安阳半山,全职工作，数据标注，图片标注，区域标注，描点标注,12,3.0,学历不限,经验不限,0,5,数据服务,未知,100-499人,0.33974594857732343
1389,大数据开发,18-30K·13薪,3-5年，本科,上海,年终奖，带薪年假，补充医疗保险，定期体检，五险一金,谷武0,Java，SQL，Flink，计算机相关专业，大数据开发经验,13,24.0,本科,3-5年,5,5,其他专业服务,不需要融资,10000人以上,0.5449028968711502
1390,数据产品经理,12-22K·15薪,3-5年，本科,苏州,五险一金，通讯补贴，员工旅游，带薪年假，餐补，加班补助，年终奖，定期体检，股票期权，交通补助，节日福利,企查查,SQL，市场调研，用户研究，产品运营，数据分析,15,17.0,本科,3-5年,11,5,移动互联网,D轮及以上,500-999人,0.6005780714781471
1391,数据产品经理,7-12K·14薪,1-3年，本科,武汉,节日福利，五险一金，每年多次调薪，加班工资，年终奖，零食下午茶，股票期权，团建聚餐，加班补助，带薪年假，员工旅游,深圳市财富趋势科...,SQL，市场调研，需求分析，产品设计，数据分析，Mockplus,14,9.5,本科,1-3年,11,6,计算机软件,已上市,500-999人,0.6419926034287541
1392,数据主管（双休）,4-8K,3-5年，大专,南京,节日福利，年终奖，五险，零食下午茶,南京玖九,数学/统计学专业,12,6.0,大专,3-5年,4,1,新能源,未融资,100-499人,0.15024519122942026
1393,数据标注专员,4-6K,经验不限，中专/中技,湖州,,浙江中导北斗,全职工作，标注结果整理，数据标注，图片标注，文本标注,12,5.0,中专/中技,经验不限,0,5,计算机软件,未知,0-20人,0.21098200105157744
1394,商品数据专员,4-6K·13薪,1年以内，大专,常州,年终奖，餐补，定期体检，节日福利，员工旅游，五险一金，全勤奖，带薪年假,威尔贝鲁,电商类产品，电商，数据分析，商品数据,13,5.0,大专,1年以内,8,4,电子商务,未融资,100-499人,0.28888236964647307
1395,数据标注专员,3-5K,经验不限，学历不限,烟台,,烟台明伯数据有限公司,图片，文字，地图，不涉黄涉暴，音频，视频,12,4.0,学历不限,经验不限,0,6,数据服务,未知,20-99人,0.31760681516886796
1396,数据产品经理,10-15K,1-3年，本科,广州,,名医汇,数据分析，产品设计，产品运营，用户研究，产品/版本迭代,12,12.5,本科,1-3年,0,5,医疗健康,未知,20-99人,0.2029123906755533
1397,数据标注（资深）,6-10K,3-5年，本科,成都,节日福利，补充医疗保险，零食下午茶，带薪年假，股票期权，定期体检，五险一金，员工旅游，包吃，年终奖,知乎,数据标注，文本标注，图片标注,12,8.0,本科,3-5年,10,3,移动互联网,已上市,1000-9999人,0.5502275744708988
1398,游戏数据分析,22-23K·14薪,3-5年，本科,上海,员工旅游，五险一金，定期体检，免费班车，节日福利，年终奖，补充医疗保险，交通补助，带薪年假，包吃，零食下午茶，餐补，年度体检,心动,SQL，SPSS，数学/统计相关专业，数据分析/挖掘经验,14,22.5,本科,3-5年,13,4,游戏,已上市,1000-9999人,0.7720800284434163
1399,数据统计专员,5-6K,5-10年，本科,绍兴,餐补，五险一金，带薪年假，年终奖，住房补贴，加班补助，全勤奖,希尔登,勤劳务实,12,5.5,本科,5-10年,7,1,机械设备/机电/重工,未融资,20-99人,0.0578943680407327
1400,数据标注专员,3-6K,经验不限，大专,新余,交通补助，团建聚餐，节日福利，全勤奖，住房补贴，保底工资，加班补助，节假日加班费，绩效奖金，底薪加提成,小集度,全职工作，标注方法优化，标注结果抽查,12,4.5,大专,经验不限,10,3,数据服务,A轮,500-999人,0.43766630750520785
1401,数据分析专员,6-8K,经验不限，本科,北京,五险一金，定期体检，带薪年假，员工旅游，节日福利,铂睿德佳,数据分析/商业分析经验,12,7.0,本科,经验不限,5,1,咨询,不需要融资,100-499人,0.3186811166853649
1402,数据标注员,3-6K,经验不限，中专/中技,聊城,,莘县鑫辰数据服务...,全职工作，标注方法优化，数据标注，标注数据分析,12,4.5,中专/中技,经验不限,0,4,数据服务,未知,0-20人,0.18595243623239216
1403,数据处理员,3-6K,经验不限，大专,南京,年终奖，补充公积金，五险一金，股票期权，定期体检,舒克资产,SQLServer，数据处理，数据库,12,4.5,大专,经验不限,5,3,互联网金融,B轮,20-99人,0.35368808320044687
1404,数据挖掘工程师,8-11K,经验不限，本科,南宁,团建聚餐，生日福利，绩效奖金，股票期权，带薪年假，定期体检，年终奖，节日福利，五险一金，加班补助,北京资采,数据仓库，数据分析，Python，Java，分布式技术，Spark,12,9.5,本科,经验不限,10,6,通信/网络设备,B轮,100-499人,0.5003657821359655
1405,电商数据分析专员,10-15K,3-5年，本科,杭州,交通补助，住房补贴，节日福利，加班补助，带薪年假，零食下午茶，年终奖，五险一金，餐补，股票期权，员工旅游,拾花社,Python，Power BI，SQL，电商/零售行业数据相关经验,12,12.5,本科,3-5年,11,4,电子商务,未融资,100-499人,0.325217131483442
1406,数据分析工程师,20-40K·15薪,1-3年，本科,深圳,免费健身房，免费班车，股票期权，公仔周边活动，五险一金，带薪年假，员工旅游，补充医疗保险，餐补，住房补贴，定期体检，绩效奖金，意外险，有无线网，包吃，年终奖，零食下午茶，免费早晚餐，交通补助，节日福利,腾讯,数据仓库，数据分析，SQL，Python，Shell，网络爬虫技术,15,30.0,本科,1-3年,20,6,互联网,不需要融资,10000人以上,0.775317786338327
1407,数据分析师,11-20K,3-5年，本科,成都,五险一金，员工旅游，定期体检，节日福利，带薪年假，股票期权,智库2861,Python，数据分析，数据挖掘，R，人工智能，Matlab,12,15.5,本科,3-5年,6,6,互联网,不需要融资,20-99人,0.25957060014670763
1408,反欺诈数据分析,5-10K,1年以内，本科,深圳,补充医疗保险，定期体检，五险一金，年终奖,晓花科技,SQL，Python，消费金融,12,7.5,本科,1年以内,4,3,互联网金融,未知,100-499人,0.28084419309447733
1409,数据分析师,8-12K·13薪,3-5年，本科,昆明,餐补，带薪年假，绩效奖金，五险一金,云南云红药业有限公司,电商/零售行业数据相关经验，数据分析/挖掘经验，电商行业,13,10.0,本科,3-5年,4,3,医疗/护理/卫生,不需要融资,100-499人,0.18242454463516647
1410,技术经理,15-25K,3-5年，大专,绵阳,,信成公司,技术负责人,12,20.0,大专,3-5年,0,1,工程施工,未知,0-20人,0.05733371593445676
1411,技术经理,8-11K·13薪,5-10年，本科,昆明,,追本科技,SQL，Java，微服务架构，MVC开发，全栈开发,13,9.5,本科,5-10年,0,5,计算机软件,未知,0-20人,0.06725367811517458
1412,技术经理,10-15K,3-5年，本科,株洲,年终奖，节日福利，带薪年假，加班补助，定期体检，餐补，全勤奖，五险一金,湖南华数,智能制造，机器人，智能产线,12,12.5,本科,3-5年,8,3,仪器仪表/工业自动化,未融资,20-99人,0.17272841891566135
1413,技术经理,8-9K,3-5年，本科,江门,,壹度,机械设备，前端开发,12,8.5,本科,3-5年,0,2,机械设备/机电/重工,未知,0-20人,0.0031872022391541245
1414,java技术经理,16-18K,5-10年，本科,武汉,,企支宝,Java，微服务架构，后端开发,12,17.0,本科,5-10年,0,3,电子商务,未知,20-99人,0.12051269208496804
1415,三维扫描仪应用技术经理,8-13K,经验不限，学历不限,上海,,泰形商贸,逆向开发,12,10.5,学历不限,经验不限,0,1,批发/零售,未知,0-20人,0.28309997707847523
1416,研发技术经理,15-18K·14薪,10年以上，本科,嘉兴,带薪年假，全勤奖，节日福利，年终奖，包吃，免费班车，加班补助，五险一金，定期体检,盛安精工,模具设计,14,16.5,本科,10年以上,9,1,原材料及加工/模具,未融资,100-499人,0.18438096709095753
1417,电商技术经理,3000-5000元/月,经验不限，大专,郑州,,社牛科技,TikTok技术支持,12,4.0,大专,经验不限,0,1,电子商务,未知,20-99人,0.12660177416055776
1418,技术经理,10-15K,5-10年，本科,上海,五险一金，培训，股票期权，零食下午茶，补充医疗保险，交通补助，年终奖，带薪年假，住房补贴，全勤奖，加班补助，定期体检，节日福利，通讯补贴，员工旅游，餐补,上海赢家,运维管理，系统架构，技术管理，SQL，服务器配置,12,12.5,本科,5-10年,16,5,智能硬件,不需要融资,20-99人,0.3688080239647132
1419,Java开发技术经理,12-20K,5-10年，本科,郑州,五险一金，股票期权，交通补助，年终奖,铁拓自动化设备,Java，企业级应用开发，Vue，SpringBoot，研发管理,12,16.0,本科,5-10年,4,5,计算机软件,不需要融资,20-99人,0.17843718626317215
1420,高级技术经理,15-20K,5-10年，本科,鹰潭,通讯补贴，全勤奖，交通补助，五险一金,南昌进步科技有限公司,Java，C#，微服务架构，网络爬虫技术，Python，全栈开发,12,17.5,本科,5-10年,4,6,计算机软件,未融资,20-99人,0.20213720395395068
1421,饲料添加剂技术经理,5-8K,经验不限，硕士,沈阳,,华星生物,五险，周末单双休,12,6.5,硕士,经验不限,0,2,农/林/牧/渔,未知,20-99人,0.11929185565410357
1422,技术经理 (MJ000144),13-18K·14薪,经验不限，本科,厦门,定期体检，免费班车，餐补，加班补助，年终奖，节日福利，带薪年假，五险一金,厦门万泰,医药生产，医药研发，生物制品，微生物，发酵工程,14,15.5,本科,经验不限,8,5,制药,未融资,500-999人,0.4612438467795998
1423,技术经理 助理,9-14K·13薪,在校/应届，本科,宁波,交通补助，有无线网，节日福利，年终奖，生日福利，通讯补贴，住房补贴，团建聚餐，带薪年假，五险一金，员工旅游，保底工资，股票期权，零食下午茶，高温补贴，绩效奖金，定期体检，意外险，餐补，补充医疗保险,三江益农,实验室质量管理体系标准,13,11.5,本科,在校/应届,20,1,化工,未融资,100-499人,0.37983734846565187
1424,技术经理,4-9K,经验不限，大专,厦门,全勤奖，零食下午茶，五险，带薪年假，员工旅游，工龄补贴,博观思衍,技术沟通，电工证,12,6.5,大专,经验不限,6,2,计算机硬件,未融资,0-20人,0.1808064182243146
1425,技术经理,5-6K,1-3年，学历不限,邯郸,餐补，交通补助，包吃，节日福利,邯郸航睿,故障排查，日常养护，快修快保，机修，汽车电路，小型车,12,5.5,学历不限,1-3年,4,6,4S店/后市场,不需要融资,20-99人,0.29291640996121593
1426,安全服务技术经理,15-20K,5-10年，本科,成都,带薪年假，定期体检，五险一金，餐补，年终奖，节日福利,安美勤,安全运维和保障，计算机/信息安全相关专业,12,17.5,本科,5-10年,6,2,计算机服务,已上市,100-499人,0.41618308993503267
1427,技术经理,7-8K,5-10年，中专/中技,镇江,,丹阳强达,需求分析工程师，五金生产技术人员,12,7.5,中专/中技,5-10年,0,2,仪器仪表/工业自动化,未知,0-20人,0.03518106154046956
1428,技术经理,20-25K·13薪,5-10年，本科,南京,带薪年假，零食下午茶，定期体检，员工旅游，年终奖，加班补助，股票期权，节日福利,云放科技,Java，Python，团队管理经验,13,22.5,本科,5-10年,8,3,企业服务,天使轮,20-99人,0.2740793578222726
1429,网络安全技术经理,25-35K,3-5年，本科,上海,交通补助，年终奖，定期体检，加班补助，餐补，带薪年假，五险一金，补充医疗保险，节日福利，通讯补贴，企业年金,信管网科,攻防对抗经验，安全运维和保障，Linux，华为，思科,12,30.0,本科,3-5年,11,5,通信/网络设备,不需要融资,20-99人,0.43122748095897345
1430,大数据技术经理,12-20K,5-10年，本科,南昌,五险一金，带薪年假，节日福利，年终奖，零食下午茶,江西高创,Java，Shell，Spark，计算机相关专业,12,16.0,本科,5-10年,5,4,通信/网络设备,B轮,100-499人,0.3198858167575837
1431,技术经理,5-8K,1-3年，大专,合肥,,康瑞欣(双凤)产业园,机械专业，医疗器械,12,6.5,大专,1-3年,0,2,其他专业服务,未知,20-99人,0.0978857175707921
1432,嘉兴技术经理 (MJ016381),7-10K,3-5年，大专,嘉兴,交通补助，年终奖，定期体检，五险一金，节日福利，带薪年假，餐补，通讯补贴，员工旅游，补充医疗保险，办公环境,万睿科技,旧改项目，智能建筑，公共建筑，弱电智能化,12,8.5,大专,3-5年,11,4,智能硬件,未融资,1000-9999人,0.3727355495083961
1433,技术经理,15-20K,5-10年，大专,泰州,节假日加班费，零食下午茶，年终奖，包吃，定期体检，员工旅游，节日福利，五险一金,中国车汇莱,车辆大修，快修快保，包住，包吃住，汽修系统培训经历,12,17.5,大专,5-10年,8,5,环保,未融资,500-999人,0.33440126090592076
1434,技术经理,25-35K,5-10年，本科,深圳,法定节假日三薪，零食下午茶，绩效奖金，股票期权，带薪年假，交通补助，节日福利，餐补，五险一金，团建聚餐，年终奖，补充医疗保险，定期体检，意外险,赋风科技,全栈侧重后端，Vue，Spring/Spring Boot，全栈项目经验,12,30.0,本科,5-10年,14,4,互联网,未融资,100-499人,0.4435497620380566
1435,机器视觉技术经理,12-18K,3-5年，本科,深圳,免费工装，意外险，带薪年假，节日福利，保底工资，年终奖，员工旅游，五险一金，零食下午茶，有无线网，团建聚餐，包吃，绩效奖金，全勤奖，免费班车，底薪加提成,思普泰克,C/C++，OpenCV，数学/统计相关专业，图像识别经验,12,15.0,本科,3-5年,16,4,智能硬件,未融资,20-99人,0.3641399777298513
1436,技术经理/主管 招聘需求,20-30K,5-10年，本科,上海,生日福利，全勤奖，年终奖，绩效奖金，节日福利，员工旅游，带薪年假，包吃，工龄奖，法定节假日三薪，企业年金，底薪加提成，股票期权，团建聚餐，保底工资，有无线网，五险一金,兑了么互联网平台,架构师，Java，Spring，JavaScript,12,25.0,本科,5-10年,17,4,电子商务,天使轮,20-99人,0.45412931638341275
1437,商务技术经理,8-12K,经验不限，大专,深圳,,深圳市驭天健科技,管理相关专业，售前支持经验，实施交付经验,12,10.0,大专,经验不限,0,3,批发/零售,未知,0-20人,0.22673982144897095
1438,弱电工程技术经理,6-7K,1-3年，大专,黔西南布依族苗族自治州,有无线网，带薪年假，全勤奖，保底工资，意外险，工龄奖，绩效奖金，底薪加提成，补充医疗保险,国顺地产,计算机相关专业，通信/工程相关专业，网络建设/系统集成经验,12,6.5,大专,1-3年,9,3,地产经纪/中介,不需要融资,0-20人,0.14809291187006832
1439,软件开发技术经理,30-35K·15薪,经验不限，硕士,深圳,股票期权，节日福利，补充医疗保险，加班补助，带薪年假，免费班车，定期体检，餐补，员工旅游，五险一金，年终奖，部门团建,亚辉龙,软件，软件专业,15,32.5,硕士,经验不限,12,2,医疗健康,已上市,1000-9999人,0.8352400308021866
1440,技术经理\咨询经理,6-11K,3-5年，大专,重庆,加班补助，节日福利,天航,农业，环境检测,12,8.5,大专,3-5年,2,2,环保,未融资,20-99人,0.09983634179373634
1441,架构师/技术经理,16-30K·15薪,10年以上，本科,长沙,节日福利，交通补助，免费班车，年终奖，带薪年假，餐补，五险一金,树根互联股份有限公司,分布式技术，微服务架构，容器技术，物联网，大数据,15,23.0,本科,10年以上,7,5,数据服务,C轮,1000-9999人,0.5535537615850541
1442,技术部经理,2-4K,1-3年，大专,石家庄,,河北永灏,技术管理，高级技术管理，测试管理,12,3.0,大专,1-3年,0,3,新能源,未融资,20-99人,0.09455541001031595
1443,技术部经理,6-10K·13薪,5-10年，本科,长沙,加班补助，定期体检，节日福利，全勤奖，员工旅游，餐补，免费班车，年终奖，五险一金，补充医疗保险,长沙友宝,线束设计,13,8.0,本科,5-10年,10,1,汽车生产,C轮,100-499人,0.32036144456432936
1444,技术部经理,8-12K·13薪,5-10年，大专,中山,五险一金，补充医疗保险，定期体检，加班补助，全勤奖,中山可壳,配电箱,13,10.0,大专,5-10年,5,1,电子/半导体/集成电路,未融资,100-499人,0.14186289572630764
1445,软件技术经理,20-35K,5-10年，本科,深圳,,智同启明,物联网，通讯软件，电力，软件开发，软件平台开发,12,27.5,本科,5-10年,0,5,智能硬件,未知,20-99人,0.26849301954448584
1446,技术开发经理,6-8K,1-3年，大专,北京,,北京弘讯润达科技,后端开发，前端开发，Flash开发，Java，JavaScript，HTML,12,7.0,大专,1-3年,0,6,计算机服务,未知,100-499人,0.33338185755148275
1447,信息技术经理,10-15K,5-10年，大专,武汉,年终奖，节日福利，包吃，包住，工龄奖，带薪年假，全勤奖，五险一金，绩效奖金，法定节假日三薪,三石服饰,计算机，流程体系，信息管理，信息系统，网络技术,12,12.5,大专,5-10年,10,5,贸易/进出口,不需要融资,500-999人,0.3582947668604592
1448,测绘部经理及技术员,5-8K,3-5年，本科,毕节,绩效奖金，五险一金,博瑞咨询,地理信息测量/测绘，工程测量/测绘，内业处理，外业采集,12,6.5,本科,3-5年,2,4,其他专业服务,未知,20-99人,0.10512181347010907
1449,技术员,5-9K,1-3年，大专,济南,,智慧水务,电工证,12,7.0,大专,1-3年,0,1,环保,未知,20-99人,0.06615763939383543
1450,技术员,4-7K,1年以内，大专,沈阳,全勤奖，年终奖，五险一金,同路,建筑施工现场管理，装修工程管理，CAD，施工安全员，实习,12,5.5,大专,1年以内,3,5,装修装饰,不需要融资,20-99人,0.20601740604827237
1451,技术员,7-9K,1-3年，大专,鄂尔多斯,五险一金，补充医疗保险，通讯补贴，餐补，员工旅游，交通补助，加班补助，定期体检，节日福利，零食下午茶,磐宏爆破,五险,12,8.0,大专,1-3年,10,1,工程施工,未融资,100-499人,0.2143998989380351
1452,土建技术员,7-9K,3-5年，大专,北京,,杉浩集团,技术,12,8.0,大专,3-5年,0,1,房地产开发,未知,100-499人,0.19948610385646637
1453,工程技术员,6-7K,1-3年，本科,铁岭,,中南矿业,市政工程师，爆破工程师，水利/港口工程师，施工员证,12,6.5,本科,1-3年,0,4,建材,未知,20-99人,0.10929767609294838
1454,工程技术员,3-5K,1-3年，大专,日照,五险一金,山东信昌,工程资料员，装配式建筑，建筑机电工程师，幕墙设计师,12,4.0,大专,1-3年,1,4,建筑设计,不需要融资,20-99人,0.1290073499386497
1455,装饰装修技术员,4-6K,1-3年，中专/中技,长春,,美艺坪,天正，广联达，ArchiCAD,12,5.0,中专/中技,1-3年,0,3,装修装饰,未知,20-99人,0.14549300893495345
1456,安防技术员,5-6K,1-3年，学历不限,衡阳,年终奖,盛源网络,网络运维，安全运维，运维经验，服务器配置，网络协议,12,5.5,学历不限,1-3年,1,5,通信/网络设备,未融资,20-99人,0.23940106475293726
1457,技术员实习生,70-100元/天,4天/周，,长春,,艺瑞装饰,住宅地产，商业地产，酒店公寓，办公地产，公共建筑,12,2.5,学历不限,经验不限,0,5,装修装饰,未知,20-99人,0.29146635828292367
1458,岩土技术员,3-8K,1-3年，中专/中技,威海,,山东佳展建设,施工员，土木/土建工程师，建筑工程师，工程造价,12,5.5,中专/中技,1-3年,0,4,工程施工,未知,20-99人,0.16710595888090654
1459,农业技术员,4-6K,1-3年，大专,江门,,牧兴农业,农业，有机种植，传统土壤种植，农业技术员，蔬菜，中草药,12,5.0,大专,1-3年,0,6,其他服务业,未知,20-99人,0.16971146266221784
1460,佰仕达招聘空调工,3-5K,经验不限，中专/中技,定安,,佰仕达,包住，餐补，五险,12,4.0,中专/中技,经验不限,0,3,其他行业,A轮,20-99人,0.27828088070962476
1461,弱电智能化技术员,6-11K,3-5年，本科,广州,带薪年假，交通补助，五险一金，年终奖，员工旅游，零食下午茶，加班补助,垂天电子,CAD，弱电工程师，智能化设计,12,8.5,本科,3-5年,7,3,工程施工,不需要融资,0-20人,0.13414581790736102
1462,弱电及音视频技术员,3-6K,1-3年，中专/中技,长春,,华谊隆科技,售前/售后技术支持，IT技术支持经验，售后支持/客户响应经验,12,4.5,中专/中技,1-3年,0,3,计算机服务,未知,0-20人,0.0952610672844211
1463,土地整治造价技术员,5-7K,1年以内，大专,湛江,交通补助，工龄奖，五险一金，员工旅游，餐补，团建聚餐，住房补贴，通讯补贴，定期体检，加班补助，年终奖，节日福利，带薪年假,广东永固,测量/测绘工程师,12,6.0,大专,1年以内,13,1,其他服务业,未知,20-99人,0.21052403935001565
1464,智能化技术员（福建南盛）,3-5K,经验不限，大专,泉州,交通补助，定期体检，加班补助，全勤奖，节日福利，五险一金,泉州云旅,智能建筑,12,4.0,大专,经验不限,6,1,旅游,未融资,20-99人,0.18273187564937124
1465,研发技术员/助理工程师,5-7K·13薪,1-3年，大专,南昌,免费班车，宿舍有空调，带薪年假，节假日加班费，五险一金，加班补助，团建聚餐，工龄奖，法定节假日三薪，餐补，高温补贴，绩效奖金，节日福利,晶能光电,封装，LED,13,6.0,大专,1-3年,13,2,仪器仪表/工业自动化,未知,500-999人,0.322908201143905
1466,实验室设备维护工程师/（技术员）,8-13K,经验不限，学历不限,舟山,加班补助，五险一金,广东重仪机械工程...,石油化工，设备管理，分析仪器，实验室 化验室，维护维修,12,10.5,学历不限,经验不限,2,5,机械设备/机电/重工,未融资,100-499人,0.39412059189347837
1467,技术部经理,12-15K,5-10年，大专,宁德,节日福利，生日福利，团建聚餐，五险，年终奖，宿舍有空调，带薪年假，餐补，底薪加提成，员工旅游，零食下午茶，通讯补贴，有无线网，免费班车,新银嘉泵业,图纸设计，技术改造与调整,12,13.5,大专,5-10年,14,2,贸易/进出口,未融资,100-499人,0.2576199759237634
1468,技术研发经理,5-6K,1-3年，大专,广州,餐补，包住，绩效奖金，加班补助，补充医疗保险，通讯补贴，年终奖，免费班车，高温补贴，住房补贴，意外险，带薪年假，夜班补助，免费工装，生日福利，五险一金，节日福利，定期体检,福润肉类加工,食品研发经理，食品饮料研发，肉制品研发,12,5.5,大专,1-3年,18,3,食品/饮料/烟酒,已上市,100-499人,0.5818954003729128
